unit_id,cip4,earn_mdn_4yr,earn_n
433387.0,5138,97114.0,9665.0
104717.0,5138,103884.0,6342.0
433387.0,5202,83654.0,4667.0
228769.0,5138,99393.0,4036.0
204866.0,5138,87308.0,3151.0
204820.0,5138,87308.0,3151.0
204802.0,5138,87308.0,3151.0
204839.0,5138,87308.0,3151.0
204848.0,5138,87308.0,3151.0
204857.0,5138,87308.0,3151.0
183026.0,5202,75423.0,3063.0
110565.0,5202,71646.0,2447.0
433387.0,1301,49646.0,2116.0
154022.0,5202,71782.0,2039.0
433387.0,1101,108836.0,1982.0
190600.0,4301,59343.0,1878.0
232557.0,5202,67269.0,1689.0
104717.0,5202,65828.0,1660.0
110529.0,5202,70954.0,1544.0
483124.0,5299,72002.0,1362.0
104151.0,5299,72002.0,1362.0
151351.0,5201,105583.0,1271.0
110592.0,5202,62716.0,1253.0
229337.0,5138,89234.0,1241.0
104717.0,1312,49531.0,1219.0
110617.0,5202,67636.0,1217.0
183026.0,4201,49769.0,1216.0
232557.0,3099,53357.0,1202.0
426314.0,4901,90495.0,1152.0
104586.0,4901,90495.0,1152.0
133553.0,4901,90495.0,1152.0
483124.0,4201,53586.0,1106.0
104151.0,4201,53586.0,1106.0
133951.0,4201,49470.0,1075.0
228723.0,3099,58697.0,1068.0
483124.0,5202,82535.0,1031.0
104151.0,5202,82535.0,1031.0
163204.0,1104,100208.0,1030.0
232557.0,4201,45340.0,1016.0
227881.0,4301,51748.0,1014.0
183026.0,5138,98032.0,1010.0
225432.0,3099,59924.0,1010.0
110565.0,0901,58082.0,1008.0
154022.0,1312,43748.0,1004.0
214795.0,1104,91671.0,999.0
214768.0,1104,91671.0,999.0
214801.0,1104,91671.0,999.0
214786.0,1104,91671.0,999.0
214652.0,1104,91671.0,999.0
214625.0,1104,91671.0,999.0
214829.0,1104,91671.0,999.0
214643.0,1104,91671.0,999.0
214713.0,1104,91671.0,999.0
214698.0,1104,91671.0,999.0
214740.0,1104,91671.0,999.0
479956.0,1104,91671.0,999.0
214810.0,1104,91671.0,999.0
214704.0,1104,91671.0,999.0
214731.0,1104,91671.0,999.0
214777.0,1104,91671.0,999.0
214670.0,1104,91671.0,999.0
186380.0,5202,83606.0,998.0
186371.0,5202,83606.0,998.0
186399.0,5202,83606.0,998.0
183257.0,5202,86535.0,985.0
183044.0,5202,86535.0,985.0
185590.0,5202,68235.0,982.0
183822.0,5202,68235.0,982.0
190512.0,5208,84956.0,969.0
214643.0,5201,65292.0,937.0
214670.0,5201,65292.0,937.0
214829.0,5201,65292.0,937.0
214786.0,5201,65292.0,937.0
214801.0,5201,65292.0,937.0
214795.0,5201,65292.0,937.0
214652.0,5201,65292.0,937.0
214689.0,5201,65292.0,937.0
214698.0,5201,65292.0,937.0
214810.0,5201,65292.0,937.0
214759.0,5201,65292.0,937.0
214768.0,5201,65292.0,937.0
214740.0,5201,65292.0,937.0
214731.0,5201,65292.0,937.0
214777.0,5201,65292.0,937.0
479956.0,5201,65292.0,937.0
214625.0,5201,65292.0,937.0
214634.0,5201,65292.0,937.0
214704.0,5201,65292.0,937.0
214795.0,5138,91032.0,916.0
214634.0,5138,91032.0,916.0
214777.0,5138,91032.0,916.0
214810.0,5138,91032.0,916.0
214625.0,5138,91032.0,916.0
214689.0,5138,91032.0,916.0
214698.0,5138,91032.0,916.0
214591.0,5138,91032.0,916.0
214713.0,5138,91032.0,916.0
214652.0,5138,91032.0,916.0
479956.0,5138,91032.0,916.0
214801.0,5138,91032.0,916.0
214759.0,5138,91032.0,916.0
217235.0,1905,50571.0,910.0
460349.0,1905,50571.0,910.0
445708.0,1905,50571.0,910.0
483124.0,0901,61193.0,906.0
104151.0,0901,61193.0,906.0
186371.0,4201,56479.0,904.0
186399.0,4201,56479.0,904.0
186380.0,4201,56479.0,904.0
137351.0,5100,56452.0,885.0
227216.0,2401,55562.0,874.0
483124.0,3099,63211.0,857.0
104151.0,3099,63211.0,857.0
110608.0,4201,49792.0,852.0
133951.0,0901,57376.0,836.0
183026.0,2401,66656.0,833.0
183026.0,5203,70181.0,824.0
110565.0,1907,51261.0,823.0
490805.0,5138,88935.0,813.0
163204.0,5202,79801.0,810.0
178396.0,5201,84534.0,793.0
166513.0,5202,75859.0,791.0
483124.0,4301,59973.0,782.0
104151.0,4301,59973.0,782.0
199218.0,5202,75512.0,777.0
186380.0,5138,99155.0,768.0
186371.0,5138,99155.0,768.0
140951.0,5004,45923.0,766.0
105330.0,5138,84996.0,754.0
212054.0,5138,100646.0,750.0
104717.0,4400,48766.0,745.0
196264.0,5201,69365.0,743.0
232557.0,3802,47991.0,741.0
110671.0,5202,72027.0,739.0
151801.0,5138,84157.0,738.0
488679.0,5138,84157.0,738.0
186380.0,2401,74122.0,737.0
186371.0,2401,74122.0,737.0
476975.0,5202,83415.0,736.0
489779.0,5202,66495.0,735.0
110565.0,4201,51661.0,734.0
498562.0,5202,64030.0,732.0
196088.0,5202,69903.0,719.0
151111.0,5201,70903.0,718.0
433387.0,1310,52090.0,718.0
199218.0,5138,86606.0,718.0
209542.0,1107,121405.0,712.0
440828.0,1107,121405.0,712.0
479956.0,1419,87997.0,706.0
214713.0,1419,87997.0,706.0
214652.0,1419,87997.0,706.0
214777.0,1419,87997.0,706.0
110574.0,5202,77567.0,706.0
214704.0,1419,87997.0,706.0
214591.0,1419,87997.0,706.0
196680.0,2401,61685.0,706.0
235167.0,2401,42219.0,705.0
228459.0,3099,54053.0,703.0
203474.0,5138,78263.0,699.0
203465.0,5138,78263.0,699.0
203526.0,5138,78263.0,699.0
203517.0,5138,78263.0,699.0
203492.0,5138,78263.0,699.0
183026.0,1101,81533.0,696.0
214713.0,4201,49543.0,692.0
214625.0,4201,49543.0,692.0
214591.0,4201,49543.0,692.0
214777.0,4201,49543.0,692.0
214786.0,4201,49543.0,692.0
214731.0,4201,49543.0,692.0
214740.0,4201,49543.0,692.0
479956.0,4201,49543.0,692.0
214759.0,4201,49543.0,692.0
214768.0,4201,49543.0,692.0
214698.0,4201,49543.0,692.0
214643.0,4201,49543.0,692.0
214689.0,4201,49543.0,692.0
214704.0,4201,49543.0,692.0
214670.0,4201,49543.0,692.0
214810.0,4201,49543.0,692.0
433387.0,5203,75767.0,692.0
214652.0,4201,49543.0,692.0
214795.0,4201,49543.0,692.0
214829.0,4201,49543.0,692.0
232557.0,4301,61715.0,687.0
224554.0,3099,54059.0,684.0
190512.0,5203,90104.0,684.0
186380.0,4301,61817.0,679.0
186399.0,4301,61817.0,679.0
186371.0,4301,61817.0,679.0
186380.0,5208,100695.0,676.0
186371.0,5208,100695.0,676.0
186399.0,5208,100695.0,676.0
137351.0,4201,47257.0,670.0
134097.0,4201,54728.0,666.0
170976.0,1101,172904.0,665.0
214810.0,4301,56877.0,661.0
214643.0,4301,56877.0,661.0
214801.0,4301,56877.0,661.0
214713.0,4301,56877.0,661.0
214759.0,4301,56877.0,661.0
214625.0,4301,56877.0,661.0
214777.0,4301,56877.0,661.0
214689.0,4301,56877.0,661.0
214704.0,4301,56877.0,661.0
479956.0,4301,56877.0,661.0
214740.0,4301,56877.0,661.0
214786.0,4301,56877.0,661.0
214634.0,4301,56877.0,661.0
214698.0,4301,56877.0,661.0
214768.0,4301,56877.0,661.0
483124.0,5138,86576.0,656.0
104151.0,5138,86576.0,656.0
110644.0,4227,57378.0,653.0
122296.0,5138,148193.0,651.0
137351.0,2601,49395.0,650.0
126818.0,5202,79256.0,650.0
191126.0,5004,60882.0,647.0
123961.0,5202,109128.0,639.0
110705.0,4511,60013.0,635.0
227216.0,3099,58004.0,635.0
489779.0,5107,57546.0,630.0
199120.0,0901,70240.0,628.0
137351.0,0901,53810.0,628.0
110538.0,5202,72651.0,628.0
232186.0,1101,110754.0,626.0
183026.0,5107,63292.0,624.0
229179.0,5138,89115.0,619.0
483124.0,2601,56037.0,617.0
190549.0,5202,61323.0,617.0
104151.0,2601,56037.0,617.0
241739.0,5138,34709.0,612.0
110608.0,5202,65760.0,611.0
105330.0,2401,56433.0,610.0
227368.0,4301,49979.0,610.0
110662.0,4511,64692.0,610.0
110547.0,5202,63662.0,609.0
177719.0,5138,79126.0,608.0
154022.0,4301,60144.0,608.0
178721.0,5202,68135.0,606.0
118888.0,5201,113620.0,604.0
167358.0,5201,113620.0,604.0
366711.0,5138,120196.0,603.0
178396.0,5100,69333.0,602.0
110617.0,0901,59404.0,601.0
132903.0,4201,49760.0,597.0
191126.0,5219,70727.0,594.0
229115.0,3099,57262.0,594.0
134097.0,4301,57417.0,593.0
168847.0,5202,65591.0,592.0
476975.0,1101,91204.0,591.0
160658.0,5138,91270.0,587.0
489779.0,5138,95877.0,585.0
186371.0,5210,75850.0,585.0
186380.0,5210,75850.0,585.0
134097.0,5208,87089.0,585.0
183026.0,4301,61027.0,577.0
110653.0,1107,127404.0,577.0
209490.0,5138,104592.0,577.0
171100.0,0909,69300.0,576.0
199193.0,5202,84349.0,573.0
104717.0,1310,50892.0,573.0
137351.0,5138,84694.0,571.0
190594.0,4201,59149.0,570.0
204705.0,4201,54182.0,567.0
204671.0,4201,54182.0,567.0
204699.0,4201,54182.0,567.0
204680.0,4201,54182.0,567.0
204796.0,4201,54182.0,567.0
153834.0,2401,54821.0,563.0
164988.0,5202,108412.0,563.0
110510.0,4201,48326.0,562.0
204796.0,0901,62096.0,562.0
110608.0,4511,54500.0,561.0
212832.0,5138,99913.0,561.0
164748.0,5009,38617.0,561.0
174899.0,5138,85824.0,558.0
133951.0,4301,55830.0,557.0
110422.0,5202,110902.0,555.0
199139.0,1107,93037.0,555.0
170976.0,5202,144654.0,551.0
184782.0,1313,57739.0,549.0
199148.0,5202,56225.0,549.0
459949.0,3099,54006.0,546.0
377564.0,1101,114798.0,546.0
377555.0,1101,114798.0,546.0
236948.0,1101,114798.0,546.0
171100.0,0901,60807.0,545.0
228459.0,3105,55832.0,544.0
110495.0,5202,63677.0,543.0
181394.0,5202,68065.0,542.0
186371.0,5203,89087.0,540.0
186380.0,5203,89087.0,540.0
186399.0,5203,89087.0,540.0
187985.0,5202,62431.0,539.0
154022.0,5107,53801.0,538.0
228459.0,5202,67048.0,536.0
228796.0,3099,56486.0,533.0
193292.0,5138,117011.0,533.0
110617.0,4301,62583.0,532.0
153658.0,3105,61732.0,532.0
186380.0,1101,125303.0,531.0
186371.0,1101,125303.0,531.0
186399.0,1101,125303.0,531.0
171492.0,5202,68679.0,529.0
178396.0,0904,69016.0,528.0
167729.0,5202,67789.0,527.0
220978.0,2401,54747.0,527.0
164076.0,5202,78497.0,527.0
137032.0,5202,67505.0,525.0
185262.0,4201,51052.0,524.0
199139.0,0901,60407.0,523.0
144281.0,5006,41200.0,523.0
229300.0,5138,92899.0,523.0
489779.0,4301,56660.0,522.0
133669.0,3000,51082.0,519.0
234030.0,4201,51440.0,518.0
149231.0,5138,83867.0,517.0
110705.0,4227,66171.0,517.0
445735.0,5138,101932.0,517.0
204796.0,5208,97986.0,517.0
188429.0,5138,112945.0,516.0
163204.0,1101,101498.0,516.0
171571.0,5138,81667.0,515.0
193900.0,5138,118433.0,514.0
214670.0,5208,96714.0,513.0
232557.0,1312,40952.0,513.0
214777.0,5208,96714.0,513.0
214801.0,5208,96714.0,513.0
479956.0,5208,96714.0,513.0
110583.0,4201,48926.0,513.0
214591.0,5208,96714.0,513.0
214713.0,5208,96714.0,513.0
110583.0,0901,58137.0,512.0
214713.0,5203,88192.0,511.0
479956.0,5203,88192.0,511.0
214689.0,5203,88192.0,511.0
214591.0,5203,88192.0,511.0
214801.0,5203,88192.0,511.0
214704.0,5203,88192.0,511.0
214777.0,5203,88192.0,511.0
110592.0,4511,50249.0,510.0
228787.0,1101,103603.0,509.0
166638.0,5202,72746.0,509.0
153603.0,1419,85938.0,509.0
142522.0,5202,81489.0,508.0
217484.0,5138,96020.0,508.0
154022.0,4201,48325.0,508.0
139940.0,4201,49050.0,507.0
171100.0,5202,91187.0,507.0
149772.0,4301,63125.0,506.0
110617.0,4201,53237.0,504.0
110662.0,4510,74202.0,504.0
221740.0,5202,66554.0,501.0
133951.0,1101,90397.0,501.0
236939.0,5138,91495.0,501.0
130697.0,2401,71932.0,500.0
228459.0,4201,50549.0,500.0
151351.0,4404,77422.0,496.0
190600.0,4228,55595.0,495.0
218663.0,5208,92578.0,495.0
110653.0,4227,54323.0,495.0
104151.0,1312,53195.0,494.0
228769.0,5202,62978.0,494.0
